ID,한자,음,첫음,뜻,교육수준,급수,장단음,구분,URL,훈음,부수,부수훈음,부수획수,부수개수,유니코드,,
1,加,가,가,더할,중학교,5급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/add-ga.html,加 더할 가,力,힘 력,2획,17,529B,,
2,可,가,가,옳을,중학교,5급,장음,첫말,https://korean-pronunciation.blogspot.com/2024/08/correct-ga.html,可 옳을 가:,口,입 구(:),3획,52,5.30E+04,,
3,假,가,가,거짓,중학교,준4급,장음,첫말,https://korean-pronunciation.blogspot.com/2024/08/false-ga.html,假 거짓 가:,人,사람 인,2획,88,4EBA,,
4,佳,가,가,아름다울,중학교,준3급,장음,첫말,https://korean-pronunciation.blogspot.com/2024/08/beautiful-ga-1.html,佳 아름다울 가: - 1,人,사람 인,2획,88,4EBA,,
5,佳,가,가,아름다울,중학교,준3급,장음,첫말,https://korean-pronunciation.blogspot.com/2024/08/beautiful-ga-2.html,佳 아름다울 가: - 2,人,사람 인,2획,88,4EBA,,
6,家,가,가,집,중학교,준7급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/house-ga.html,家 집 가,宀,집 면(갓머리),3획,35,5B80,,
7,歌,가,가,노래,중학교,7급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/song-ga.html,歌 노래 가,欠,하품 흠:,4획,6,6B20,,
8,街,가,가,거리,중학교,준4급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/street-ga-short.html,街 거리 가,行,다닐 행(:) | 항렬 항,6획,6,884C,,
9,街,가,가,거리,중학교,준4급,장음,첫말,https://korean-pronunciation.blogspot.com/2024/08/street-ga-long.html,街 거리 가:,行,다닐 행(:) | 항렬 항,6획,6,884C,,
10,價,가,가,값,중학교,준5급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/value-ga.html,價 값 가,人,사람 인,2획,88,4EBA,,
11,各,각,각,각각,중학교,준6급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/each.html,各 각각 각,口,입 구(:),3획,52,5.30E+04,,
12,角,각,각,뿔,중학교,준6급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/horn-gak.html,角 뿔 각,角,뿔 각,7획,3,89D2,,
13,脚,각,각,다리,중학교,준3급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/leg-gak.html,脚 다리 각,肉,고기 육,6획,25,8089,,
14,間,간,간,사이,중학교,준7급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/interval-gan-short.html,間 사이 간,門,문 문,8획,9,9580,,
15,間,간,간,사이,중학교,준7급,장음,첫말,https://korean-pronunciation.blogspot.com/2024/08/interval-gan-long.html,間 사이 간:,門,문 문,8획,9,9580,,
16,干,간,간,방패,중학교,4급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/shield-gan.html,干 방패 간,干,방패 간,3획,5,5.00E+72,,
17,却,각,각,물리칠,고등학교,3급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/repel-gak.html,却 물리칠 각,卩,병부 절,2획,8,5369,,
18,架,가,가,시렁,고등학교,준3급,장음,첫말,https://korean-pronunciation.blogspot.com/2024/08/shelf-ga.html,架 시렁 가,木,나무 목,4획,64,6728,,
19,刻,각,각,새길,고등학교,4급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/carve-gak.html,刻 새길 각,刀,칼 도,2획,26,5200,,
20,閣,각,각,누각,고등학교,준3급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/pavilion-gak.html,閣 누각 각,門,문 문,8획,9,9580,,
21,看,간,간,볼,중학교,4급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/see-gan.html,看 볼 간,目,눈 목,5획,15,76EE,,
22,渴,갈,갈,목마를,중학교,3급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/thirsty-gal.html,渴 목마를 갈,水,물 수,4획,91,6C34,,
23,甘,감,감,달,중학교,4급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/sweet-gam.html,甘 달 감,甘,달 감,5획,2,7518,,
24,甲,갑,갑,갑옷,중학교,4급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/armor-gap.html,甲 갑옷 갑,田,밭 전,5획,17,7530,,
25,強,강,강,굳셀,중학교,6급,단음,첫말,https://korean-pronunciation.blogspot.com/2024/08/strong-gang-short.html,強 굳셀 강,弓,활 궁,3획,9,5F13,,
26,感,감,감,느낄,중학교,6급,장음,첫말,https://korean-pronunciation.blogspot.com/2024/08/feeling-gam.html,感 느낄 감:,心,마음 심,4획,76,5FC3,,
